Cycle,BJD,Error
30705,2457663.245692,8e-06
30714,2457664.239053,1e-05
30904,2457685.210139,1.2e-05
30931,2457688.1902,1.5e-05
30941,2457689.293987,2.7e-05
31004,2457696.247504,9e-06
33027,2457919.53427,7e-05
33157,2457933.88289,1e-05
33680,2457991.60849,1e-05
33830,2458008.16467,2e-05
33857,2458011.14475,2e-05
33933,2458019.53317,1e-05
33934,2458019.64351,1e-05
34157,2458044.256934,1e-05
36364,2458287.85272,2e-05
36372,2458288.7357,2e-05
36550,2458308.382288,8.7e-05
36551,2458308.492759,8.4e-05
36813,2458337.410692,6.2e-05
36823,2458338.514435,7.6e-05
36921,2458349.331172,2e-05
37073,2458366.10801,4e-05
37591,2458423.281879,1e-05
37717,2458437.188979,1e-05
37851,2458451.97914,2e-05
37933,2458461.02974,5e-05
37942,2458462.02315,2e-05
40120,2458702.41808,3.6e-05
40121,2458702.528449,5.2e-05
40147,2458705.398126,5.4e-05
40148,2458705.508474,3.3e-05
40500,2458744.36031,2e-05
40636,2458759.37118,3e-05
40820,2458779.68005,3e-05
40835,2458781.335569,1e-05
42592,2458975.26294,4e-05
42872,2459006.16767,4e-05
43047,2459025.48311,3e-05
43373,2459061.46504,3e-05
43382,2459062.458435,1e-05
43698,2459097.336585,1e-05
43771,2459105.3939,3e-05
43798,2459108.373995,1e-05
43816,2459110.360725,1e-05
44033,2459134.3119,2e-05
44114,2459143.252174,0.0001
44150,2459147.225634,1e-05
44169,2459149.32277,1e-05
44340,2459168.196694,1e-05
44386,2459173.27394,7e-05
44425,2459177.57853,2e-05
46128,2459365.54537,3e-05
46526,2459409.47419,3e-05
46798,2459439.49598,2e-05
47024,2459464.44049,3e-05
47331,2459498.32529,3e-05
47720,2459541.26079,2e-05
49414,2459728.234422,3.8e-05
49426,2459729.558865,1.7e-05
49438,2459730.883347,1.3e-05
49793,2459770.06619,5e-05
49794,2459770.17656,5e-05
49795,2459770.28697,5e-05
49796,2459770.3973,5e-05
49797,2459770.5076,5e-05
49797,2459770.507636,1.3e-05
49798,2459770.61798,5e-05
49799,2459770.72838,5e-05
49800,2459770.83875,6e-05
49801,2459770.94917,5e-05
49802,2459771.05954,0.00011
49802,2459771.05952,5e-05
49803,2459771.16988,5e-05
49804,2459771.28035,6e-05
49805,2459771.39066,5e-05
49806,2459771.50104,6e-05
49807,2459771.61134,5e-05
49808,2459771.72177,6e-05
49809,2459771.83216,6e-05
49810,2459771.94249,6e-05
49811,2459772.0529,6e-05
49812,2459772.16331,6e-05
49813,2459772.27367,6e-05
49814,2459772.3839,6e-05
49815,2459772.49436,6e-05
49816,2459772.60473,6e-05
49817,2459772.71515,6e-05
49818,2459772.82547,6e-05
49819,2459772.9359,6e-05
49820,2459773.04622,6e-05
