EclipseNumber,BJD,Error
81174,2459586.8800014206,0.0001476503807152
81176,2459586.975775225,0.0001363260001853
81177,2459587.0713827196,9.872376360060797e-05
81178,2459587.1671374203,0.000125027242216
81179,2459587.26261787,0.0001143493992355
81180,2459587.3584132283,0.0001397551030767
81181,2459587.453929652,0.0001286331157669
81182,2459587.5497182123,0.0001128167377299
81183,2459587.645269147,0.0001118900264186
81184,2459587.741019325,0.000102809642589
81185,2459587.8365170755,0.0001305929487583
81185,2459587.932109384,0.0001139917332834
81187,2459588.0280220145,0.0001105487066817
81188,2459588.1234700796,0.0001251695043418
81189,2459588.219120832,0.0001304615977162
81190,2459588.314835051,0.0001076065593559
81190,2459588.410354409,0.0001514633962812
81192,2459588.5061321384,0.0001153482320759
81192,2459588.601550257,0.0001313901742031
81194,2459588.6975250817,0.0001555634640627
81195,2459588.793183101,0.0001162287240829
81196,2459588.888700173,0.0001245128625196
81197,2459588.9843851286,0.0001135352126268
81198,2459589.175443924,0.0001372841031422
81198,2459589.0800379794,0.0001536944884623
81200,2459589.2714106007,0.0001168922313975
81201,2459589.3668440776,0.0001450960420431
81201,2459589.4624465792,0.000125201389148
81203,2459589.5582980914,0.0001521986335707
81204,2459589.653823115,0.0001344519791361
81205,2459589.7494732346,0.0001256688875783
81205,2459589.844871707,0.0001238879611534
81207,2459589.940832266,0.0001518179283981
81208,2459590.0363890254,0.0001523457731301
81209,2459590.132017106,0.0001274903819255
81210,2459590.228015762,0.0001581620233059
81211,2459590.3233322008,0.000124729322137
81211,2459590.4188436554,0.0001471896771386
81212,2459590.419089,0.0001183
81213,2459590.514793,9.59e-05
81213,2459590.5147008896,0.0001563763399177
81214,2459590.6103420076,0.0001120072616201
81214,2459590.61028,8e-05
81215,2459590.705967736,0.0001253889080386
81215,2459590.8014890887,0.0001150114734119
81217,2459590.897182425,0.0001096440252604
81218,2459591.088315679,9.957053238693416e-05
81218,2459590.992854804,0.0001422725973038
81220,2459591.184124368,0.0001458276028723
81221,2459591.2798918895,0.0001209767372196
81222,2459591.3756492403,0.000146658347011
81222,2459591.4710281393,0.0001242180799591
81224,2459591.5667148274,0.000142622807197
81224,2459591.6623156406,0.000152646775182
81225,2459591.757843101,0.000141808868536
81227,2459591.8538264474,0.0001333269931025
81227,2459591.9492725674,0.0001624505299745
81229,2459592.0451076007,0.0001104809829501
81229,2459592.1405351297,0.0001268247471557
81230,2459592.2361871414,0.0001543629202468
81232,2459592.331956552,0.0001214242043329
81233,2459592.427684453,0.0001145508668
81233,2459592.52315049,0.0001519331675323
81235,2459592.6189892925,0.0001087245695147
81236,2459592.714567225,0.0001417520512754
81237,2459592.8102286174,0.0001317231381509
81237,2459592.905574085,0.000146978306931
81249,2459593.958535227,0.0007316008774183
81250,2459594.054442304,inf
81250,2459594.1491184854,0.0005903320895137
81252,2459594.245083001,0.0003105012570718
81253,2459594.4356344277,0.0004351795338385
81255,2459594.532182161,0.0003008942793715
81256,2459594.6275243983,0.0002899275734449
81257,2459594.723398258,0.0002483469221817
81258,2459594.8187755863,0.0003255975288698
81259,2459594.914388213,0.0002712368001544
81259,2459595.0096733905,0.0002481163336651
81261,2459595.106141259,inf
81262,2459595.2054485735,inf
81262,2459595.288091805,inf
81264,2459595.3996687653,inf
81265,2459595.4888898847,inf
81265,2459595.5833460935,0.0003181598731791
81267,2459595.6796532604,0.0002270334025244
81268,2459595.775445521,0.0003159871654126
81268,2459595.870634757,0.0002065039350297
81270,2459595.9668342387,0.000275687816723
81271,2459596.06497832,inf
81272,2459596.2413932406,0.0004693380150187
81274,2459596.349155136,0.0001603479971075
81275,2459596.446037281,inf
81276,2459596.635659754,0.0001519327270657
81276,2459596.540336716,0.0001565376964171
81278,2459596.731718461,0.0001712385715894
81279,2459596.8272896702,0.0001282238659242
81279,2459596.922871761,0.0001351784762622
81281,2459597.0187011086,0.0001352839232766
81282,2459597.114224872,0.0001341536508247
81283,2459597.2098710425,0.0001438796592443
81284,2459597.305764624,0.0001084828509179
81284,2459597.401145828,0.0001292626654536
81286,2459597.496902523,0.0001411859019392
81286,2459597.5923361653,0.0001090564351304
81288,2459597.688305344,0.0001285097644965
81288,2459597.7837044154,0.0001168209445353
81290,2459597.879600007,0.0001298242617866
81291,2459598.0705792527,9.854999799785572e-05
81291,2459597.9752823906,0.0001512431493477
81293,2459598.1665593265,0.0001667753867479
81293,2459598.261872848,0.0001511251909399
81295,2459598.3576583774,0.0001347134313476
81295,2459598.453171244,0.0001397625074344
81296,2459598.5487625888,0.0001403399923576
81298,2459598.644648761,0.0001316944194691
81298,2459598.740187038,0.0001159258083837
81300,2459598.835991248,0.0001181775424325
81300,2459598.9314132556,0.0001421813848301
81302,2459599.0272969427,0.0001039221058393
81303,2459599.1229101163,0.0001094386723076
81304,2459599.2184974323,0.000109132771063
81305,2459599.314142936,0.0001347064966147
81306,2459599.4098478286,0.0001211452767378
81307,2459599.5056391144,0.0001407084384866
81308,2459599.6011169935,0.0001082980280239
81308,2459599.6965466086,0.0001073202865234
81309,2459599.7921936065,0.0001000568072238
81311,2459599.888219669,0.0001180614121436
81312,2459599.983633776,9.586612835451656e-05
81312,2459600.079075468,0.0001572656548568
81314,2459600.175017586,0.0001178951383983
81315,2459600.2706721015,0.0001509096393874
81316,2459600.3662785543,0.0001030076743101
81317,2459600.461884153,0.000139702142577
81318,2459600.5576541238,0.0001041757272904
81318,2459600.6530206213,0.0001603839632436
81320,2459600.7488288623,0.0001384623037477
81321,2459600.8444610275,0.0001447218257062
81322,2459600.9401075356,0.000135825647978
81323,2459601.0359149487,8.802305392910643e-05
81324,2459601.1316219587,0.0001237500178077
81325,2459601.2271909127,0.0001211445165528
81326,2459601.4182714666,0.0001472203750831
81326,2459601.322843624,0.0001553391881178
81328,2459601.514108064,9.115997969483772e-05
81329,2459601.6097151474,0.0001221892694058
81330,2459601.7053571,0.0001369306356896
81331,2459601.801109594,9.068298078852212e-05
81332,2459601.8967364333,0.0001355075005071
81333,2459601.9923761254,0.0001757275612451
81334,2459602.0880058636,0.0001551947797164
81335,2459602.183575276,0.00012707236345
81335,2459602.2790910034,0.0001216517669041
81337,2459602.3749125944,0.0001413466727038
81338,2459602.4705554848,0.0001278174570659
81339,2459602.5664193844,0.0001388836538557
81340,2459602.662011184,0.0001621366542483
81341,2459602.757461924,0.0001200202562204
81342,2459602.853267483,0.000125413110862
81343,2459602.9488015953,0.0001451907965335
81344,2459603.044358252,0.0001190369365215
81345,2459603.140119985,0.0001640604258302
81346,2459603.235672158,0.0001312502089942
81347,2459603.3313569613,0.0001557778988401
81348,2459603.426938568,0.0001504973107939
81349,2459603.522768651,0.0001141385650652
81349,2459603.6180597143,0.0001550136204464
81350,2459603.7137292493,0.000103990991529
81352,2459603.8095375053,0.000147469258751
81353,2459603.905260693,0.0001000779559948
81354,2459604.000974716,0.000168877272222
81355,2459604.096560567,0.0001472882068216
81356,2459604.1921061263,0.0001371354049345
81356,2459604.2876938544,0.0001469257369264
81358,2459604.3834779374,0.0001224138060993
81359,2459604.479064636,0.000132174701276
81360,2459604.5749148866,0.0001312137627905
81361,2459604.7659218973,9.458548829702622e-05
81361,2459604.6705066254,0.0001146074108195
81363,2459604.9572384027,9.75482309694216e-05
81363,2459604.8618705696,9.793544091345352e-05
81365,2459605.1484043025,0.00016486265556
81365,2459605.0530489665,0.000114464362001
81367,2459605.244338813,0.0001633986913283
81368,2459605.3401495,0.0001236432164831
81369,2459605.435636379,9.956215203536775e-05
81370,2459605.531243935,0.0001216390481411
81371,2459605.626785265,0.0001257686744611
81372,2459605.7225167626,0.0001349632961981
81373,2459605.8182939994,0.0001445343257156
81374,2459605.9140088926,0.0001356952653823
81375,2459606.009386657,0.0001267487134064
81375,2459606.1048773755,8.781273854069941e-05
81377,2459606.2006968134,0.0001715495571333
81378,2459606.2965583703,0.000112378465669
81379,2459606.487435546,0.0001347538043657
81379,2459606.392201292,0.0001268202077797
81381,2459606.583347989,0.0001334319516214
81382,2459606.6793211787,0.0001033264825579
81383,2459606.7745868107,0.000127205737452
81383,2459606.77459427,0.000135438920685
81693,2459636.42506,4e-05
81964,2459662.34528,2e-05
81965,2459662.44097,3e-05
82048,2459670.37961,2e-05
82624,2459725.472158,2.55e-05
83524,2459811.554143,4.51e-05
83805,2459838.431051,0.0001152
83817,2459839.578746,4.28e-05
84110,2459867.603363,4.98e-05
84246,2459880.611173,4.98e-05
84412,2459896.488653,3.95e-05
84778,2459931.495231,4.87e-05
84836,2459937.042688578,0.0001202629845235
84837,2459937.1386331385,0.0001611992948427
84838,2459937.3294959334,0.0002287917476148
84838,2459937.2340637557,0.000190738579941
84844,2459937.9032411454,0.0010101598142912
84846,2459938.0944062197,0.0002578968800175
84848,2459938.1904588384,0.0002296104549171
84849,2459938.286246065,0.0002168709754112
84850,2459938.3818170973,0.0002244857011939
84850,2459938.477288928,0.0002171150634359
84851,2459938.572920514,0.0001681210842823
84853,2459938.669035609,0.000240872641123
84854,2459938.764403361,0.0001708369442279
84855,2459938.9554052204,0.000168789281317
84855,2459938.860173652,0.0001204435639227
84857,2459939.0512635945,0.0001760155405545
84857,2459939.1468805578,0.0001471472967152
84858,2459939.2424521926,0.0001247429792876
84860,2459939.3383310824,0.000133125115731
84860,2459939.4337540655,0.0001190771071095
84862,2459939.5295842597,0.0001003840602228
84862,2459939.625099836,0.0001376817917777
84864,2459939.7209241623,0.0001338573007869
84865,2459939.8165264428,0.0001152708423209
84866,2459939.912242281,0.0001059318259981
84867,2459940.007726724,0.0001116601080319
84868,2459940.103520096,0.0001394304517273
84869,2459940.199201212,0.0001108336715606
84870,2459940.2948476686,0.0001189635480178
84871,2459940.3903426547,0.0001312034843169
84872,2459940.4860079424,0.0001174337822847
84873,2459940.5816943143,8.796613183550056e-05
84874,2459940.6772798775,0.0001180305109355
84875,2459940.7729214863,0.0001051287122917
84876,2459940.868551416,9.974546663210934e-05
84876,2459940.9641577513,0.0001072894671673
84877,2459941.0597979473,0.0001372368984818
84879,2459941.250951916,9.871735473476444e-05
84879,2459941.1555773276,0.0001207672603569
84881,2459941.346917021,8.722756162467955e-05
84882,2459941.4424448544,9.640330513605694e-05
84883,2459941.538167034,0.0001040716092835
84883,2459941.6336478735,9.944427265192317e-05
84885,2459941.729486243,9.90099770932885e-05
84886,2459941.920590285,9.740517303077064e-05
84886,2459941.825069115,8.229372006261924e-05
84888,2459942.0163392043,0.0001061861868531
84889,2459942.111934733,0.0001332135504041
84889,2459942.207525322,0.000113723043359
84891,2459942.3988302927,0.000125521763385
84891,2459942.303379097,0.0001131428335752
84892,2459942.494498075,0.000154490206041
84894,2459942.590206036,0.0001106959490086
84895,2459942.685891761,0.0001237263866695
84896,2459942.781658626,9.768699706316604e-05
84896,2459942.8771001766,0.0001327289184136
84898,2459942.9728494533,0.0001166353258969
84899,2459943.0685765897,0.0001289646493707
84900,2459943.164402087,9.62401452782618e-05
84901,2459943.2597578,0.0001213917170091
84902,2459943.3553684987,0.0001092968943323
84903,2459943.5466224635,0.0001079205691716
84903,2459943.451045645,0.0001093540341595
84905,2459943.642320549,0.0001216924136723
84908,2459943.929463804,0.0001731497010985
84909,2459944.024897799,0.0001162105681436
84910,2459944.120580164,0.0001123494105261
84911,2459944.2162098526,9.06907694160881e-05
84911,2459944.31170438,0.00013344123006
84913,2459944.407661861,0.0001054998879547
84914,2459944.503266457,0.0001117008055484
84915,2459944.5988078546,0.0001014504956078
84915,2459944.694386392,8.376106132055474e-05
84917,2459944.790167115,9.756924792327973e-05
84918,2459944.8856924255,9.334003781658836e-05
84919,2459944.981347688,9.9175805504972e-05
84920,2459945.0769826365,0.000100740854758
84921,2459945.1727600917,9.284179627488472e-05
84922,2459945.2684639944,0.0001174646548484
84923,2459945.3640197846,8.408780576714959e-05
84923,2459945.459487733,0.0001025701016704
84924,2459945.5551676755,9.655166826074252e-05
84925,2459945.6507987357,0.0001224394479526
84926,2459945.746420504,9.59827369956901e-05
84927,2459945.842118088,8.60064077480839e-05
84929,2459945.937896397,0.0001134515692204
84930,2459946.0335441404,0.0001021877432909
84930,2459946.1290500695,0.0001067982602628
84931,2459946.224714359,0.0001114419964725
84933,2459946.416016985,0.0001024024732013
84933,2459946.3205063,0.000112691246684
84935,2459946.511721859,0.0001298846808818
84935,2459946.6073071263,9.455737049052496e-05
84937,2459946.7031568657,0.000104418122861
84938,2459946.7988366643,9.76599268600386e-05
84939,2459946.894548414,8.17715794742604e-05
84940,2459946.990117158,0.0001383553907185
84940,2459947.0855066646,0.0001228290675022
84941,2459947.181146192,0.0001261416830304
84942,2459947.276846308,0.0001087119645927
84944,2459947.372568662,0.0001098851738358
84945,2459947.4681558786,8.240443431125046e-05
84945,2459947.563761396,0.0001107400425849
84946,2459947.659314355,9.660191851659552e-05
84948,2459947.7552217687,0.0001302052944676
84949,2459947.8509272295,9.477196851544711e-05
84950,2459948.0420201137,0.0001137872418809
84950,2459947.9463829785,8.367827780300495e-05
84952,2459948.137705507,0.0001392262320057
84952,2459948.233197992,0.0001208871354683
84954,2459948.329194776,0.0001177345685748
84955,2459948.4246874973,0.0001359664441944
84956,2459948.5202754005,0.0001028819621054
84956,2459948.6158541017,9.872249088417847e-05
84958,2459948.711625765,0.0001188600825678
84959,2459948.8073433824,9.363094964058748e-05
84960,2459948.9029512824,7.600651462146787e-05
84961,2459948.998666705,8.883872975373706e-05
84961,2459949.094125035,9.949633582622264e-05
84963,2459949.189888374,9.967707688919602e-05
84963,2459949.2854378764,8.093189223848176e-05
84964,2459949.3810596047,0.0001189154126671
84965,2459949.476667293,9.266511054349913e-05
84967,2459949.572578278,0.0001203039961058
84967,2459949.6678986894,8.69791246161418e-05
85025,2459955.1200314695,0.0001138052676996
85026,2459955.215602309,0.0001093852553079
85026,2459955.3111705184,0.0001553124091753
85028,2459955.406981364,0.0001221952714995
85029,2459955.5025218525,0.0001049320611628
85029,2459955.5980496574,0.0001313703432571
85031,2459955.693765813,9.692202980454168e-05
85032,2459955.789545201,9.976194695824973e-05
85033,2459955.8850649656,9.223798634627068e-05
85034,2459956.0760695464,0.0001252546279627
85034,2459955.980772674,0.0001203039913042
85035,2459956.1719328314,8.919471148424355e-05
85040,2459956.5546867186,0.0001089033527788
85041,2459956.7457056786,9.874667403634858e-05
85041,2459956.650369291,0.0001049668850877
85042,2459956.841488895,0.0001121412784121
85044,2459956.937368704,0.0001060061139752
85044,2459957.0328192464,0.000105110288561
85045,2459957.1282902984,9.98748197703295e-05
85046,2459957.2240855694,0.0001294597093042
85047,2459957.3197195623,0.0001097050708797
85049,2459957.415426925,0.0001138937074395
85049,2459957.51100228,0.0001167442652585
85050,2459957.606668253,0.000104012647604
85052,2459957.7024327754,0.0001082276202864
85053,2459957.7981055584,0.0001128686551318
85053,2459957.893567019,0.0001382132909619
85055,2459957.989393341,0.0001022606599524
85056,2459958.08507438,0.0001199580723238
85057,2459958.1807681136,9.23526901012635e-05
85058,2459958.2764205867,7.548243045283023e-05
85059,2459958.372077422,9.727553270870144e-05
85060,2459958.467621475,7.853442440115546e-05
85061,2459958.5632251296,0.0001388041531433
85062,2459958.658871868,0.00011099124725
85062,2459958.75438584,0.0001068259619013
85064,2459958.850376141,0.0001063977079174
85065,2459958.945822529,0.0001690151374354
85065,2459959.0413977327,0.0001061591157008
85066,2459959.137007116,8.676225304055127e-05
85068,2459959.2326964065,0.0001220447651696
85069,2459959.3284448986,0.0001146569009627
85069,2459959.423887963,0.000102370536342
85071,2459959.5196816055,0.0001043574865092
85072,2459959.7109224256,0.0001281753176075
85072,2459959.61538482,0.0001116356097894
85074,2459959.902172636,0.0001061443869081
85074,2459959.8067180254,0.0001172234256043
85076,2459959.997879663,0.0001202085706628
85077,2459960.093583219,9.195486569641606e-05
85078,2459960.1892575603,9.073719515048546e-05
85078,2459960.284737774,9.236155411026568e-05
85080,2459960.3805948566,0.0001326027549199
85081,2459960.4761794535,9.775489013314196e-05
85081,2459960.571646085,0.0001259499738105
85083,2459960.667483648,6.683397685735753e-05
85084,2459960.763048142,0.0001088552513125
85084,2459960.8586755083,9.485497416974177e-05
85086,2459960.954521788,9.105954325058132e-05
85087,2459961.0501268166,9.601812073406908e-05
85088,2459961.145799041,8.79228738033301e-05
85089,2459961.2414085236,0.0001527221618675
85090,2459961.3370859865,9.82923578249568e-05
85091,2459961.432672214,0.0001067442737695
85092,2459961.528433325,0.0001504526040932
85093,2459961.624012742,0.0001271754990138
85094,2459961.719636449,9.32917134270666e-05
85095,2459961.815202906,0.0001003168456922
85096,2459961.911007518,0.0001140585766619
85097,2459962.0064878073,0.0001016198319832
85098,2459962.102217426,0.0001183517339051
85099,2459962.1977754724,0.00012347504148
85100,2459962.2935399013,0.0001269393708125
85101,2459962.38922715,0.0001348799168483
85101,2459962.389191392,0.0001127495091493
85102,2459962.4848009227,0.0001088689720059
85111,2459963.345565,7.63e-05
85445,2459995.291558,2.31e-05
85446,2459995.387151,3.47e-05
85697,2460019.394605,5.56e-05
85885,2460037.376084,3.24e-05
85886,2460037.471798,6.25e-05
85886,2460037.471774,5.78e-05
86084,2460056.409844,4.8e-05
86314,2460078.408629,3.26e-05
86649,2460110.450171,6.01e-05
87362,2460178.646345,4.63e-05
87560,2460197.584381,4.63e-05
87821,2460222.548182,6.25e-05
87916,2460231.634666,2.4e-05
88238,2460262.432897,5.56e-05
88239,2460262.528531,2.89e-05
88352,2460273.336594,5.56e-05
88353,2460273.432255,6.48e-05
88354,2460273.527892,3.47e-05
88355,2460273.623533,3.59e-05
88483,2460285.8663843316,9.924623472106312e-05
88484,2460285.962037131,0.0001351691442336
88485,2460286.057639996,0.0001348875088902
88486,2460286.1535609886,0.0001717937834919
88487,2460286.24894164,0.0001911996753472
88488,2460286.3445386924,0.0002338057191116
88488,2460286.431256179,inf
88489,2460286.5356587158,0.0002912035623608
88491,2460286.632131333,0.0002570243404645
88492,2460286.727396354,0.000262324989463
88492,2460286.822569828,0.0002083429110621
88494,2460286.918752071,0.0002873597544232
88495,2460287.0141660403,0.0002573839852373
88496,2460287.20477663,0.0002520291693946
88496,2460287.1097987094,0.0003816461406688
88497,2460287.3008877086,inf
88498,2460287.3951260108,inf
88499,2460287.4919471503,0.0003126917422578
88500,2460287.5874583316,0.0003009349328296
88502,2460287.7037059125,inf
88503,2460287.779396935,0.000249232052321
88504,2460287.874839173,0.0002257539379087
88505,2460287.9709352492,0.0002009880088018
88505,2460288.0660651224,0.0001605328399405
88506,2460288.161697461,0.0002357113026117
88508,2460288.257733203,0.0002286651070608
88508,2460288.352916554,0.0001400097661234
88510,2460288.4488982656,0.0002536960346847
88510,2460288.544272176,0.0001816471341694
88512,2460288.640297639,0.0001723968763655
88513,2460288.83118259,0.0001863560991185
88513,2460288.7357404404,0.0001472529125618
88514,2460288.926894448,0.0001697866909817
88516,2460289.0226570587,0.0001494427209607
88517,2460289.1182528865,0.0001234642658065
88518,2460289.214199946,0.0001737535931248
88518,2460289.3094450063,0.0001157999676842
88520,2460289.405215641,0.0001736764187486
88521,2460289.5009131962,0.000128562530449
88522,2460289.596540548,0.0001478435213608
88523,2460289.6922982577,0.0001456299294468
88523,2460289.7877661227,0.0001016016779625
88525,2460289.8835539105,0.000135066518898
88525,2460289.979052292,0.0001710618469378
88526,2460290.0745661706,0.0001329283414178
88528,2460290.1704606446,0.0001312713124646
88529,2460290.2661463176,0.0001430113931253
88530,2460290.3616609205,0.000128683115525
88531,2460290.457403539,0.0001105622082417
88532,2460290.5531467358,0.0001215829373124
88533,2460290.648631027,0.0001240293677804
88533,2460290.7442223486,0.0001477683712953
88535,2460290.8400800424,0.0001719809047625
88535,2460290.935489564,0.0001457459416049
88537,2460291.0312502636,0.0001423634823408
88538,2460291.1268964303,0.0001104469943159
88539,2460291.222516584,0.0001547738613427
88540,2460291.318151969,0.0001393574434291
88540,2460291.4136092653,0.0001236246413862
88541,2460291.509356252,0.0001034141766124
88543,2460291.605064637,0.0001178460141756
88544,2460291.700792296,0.0001423779976756
88545,2460291.796375993,0.0001146846778705
88546,2460291.8921220135,0.0001215209651661
88547,2460292.0832057926,0.0001371479656976
88549,2460292.1789680035,9.606682537201962e-05
88553,2460292.561623144,0.0001121680774009
88553,2460292.657152107,0.0001376012974715
88555,2460292.752880224,0.0001655344890982
88555,2460292.8483552486,0.0001309587510461
88557,2460292.944289489,0.0001386829995327
88558,2460293.0402354673,0.0001244226545867
88559,2460293.13564633,0.0001365262171773
88559,2460293.230983224,0.0001405350223457
88560,2460293.326668189,0.0001206267927932
88561,2460293.4221364004,0.0001023742796784
88563,2460293.5180599866,0.0001193056776186
88564,2460293.7092063543,0.0001376119056306
88564,2460293.613697831,0.0001133755995356
88566,2460293.804963253,0.0001075188358975
88567,2460293.9007754847,0.0001188635295916
88568,2460293.9962318125,0.0001350717106527
88569,2460294.0920046247,0.0001074726728898
88570,2460294.1876079575,0.0001328806809771
88571,2460294.283233501,0.0001027081878988
88572,2460294.378920105,0.0001269058846234
88573,2460294.4745130776,0.0001252083242487
88574,2460294.5702675306,0.0001327158401578
88574,2460294.665664475,0.0001081400528028
88576,2460294.7614514506,0.0001123342382825
88577,2460294.857345103,0.0001469549800902
88578,2460294.9527659966,0.0001241323921526
88579,2460295.048362853,0.0001072609656407
88580,2460295.144125088,8.761909857917068e-05
88581,2460295.2396663222,0.0001420268918241
88581,2460295.3352751927,0.0001280986343304
88583,2460295.4310973124,0.0001183085925018
88584,2460295.5266369134,0.0001141208030833
88585,2460295.622314231,0.0001360608094701
88586,2460295.718020109,0.0001151896514661
88586,2460295.8134594606,0.0001226165503068
88588,2460295.9093262986,0.0001066706855195
88589,2460296.004876218,0.0001164866086335
88589,2460296.1004384155,0.0001066960547623
88591,2460296.1962446254,0.0001383417878094
88592,2460296.291772021,0.0001167562111288
88593,2460296.38744502,0.0001051092055226
88594,2460296.483240021,0.0001498579603537
88594,2460296.5786368367,0.000106144410681
88596,2460296.6747063,0.0001271662982276
88597,2460296.7700771606,0.0001190301117719
88598,2460296.865843369,0.0001377973733512
88599,2460296.961349489,0.000109992881601
88599,2460297.056758358,9.87360375082845e-05
88601,2460297.152568712,0.0001304059049779
88602,2460297.2483283,0.0001160189707275
88603,2460297.3439516705,7.342883088614522e-05
88604,2460297.4395297864,0.000105404649957
88605,2460297.5352401463,0.0001139398414915
88606,2460297.726411713,0.0001309545661375
88606,2460297.6308756783,0.0001072047618074
88608,2460297.822330723,0.0001065727448173
88609,2460297.9177860846,0.0001197465232312
88609,2460298.0133789415,0.0001255249800238
88611,2460298.109083132,0.0001482646075012
88611,2460298.2046328704,0.0001159868372314
88613,2460298.30044449,0.0001036115766667
88614,2460298.3961082855,0.0001622562250369
88615,2460298.4916280406,0.0001109933259616
88616,2460298.5873192926,0.0001485604122266
88617,2460298.68293631,0.0001331668167127
88618,2460298.778758534,0.0001042693728428
88619,2460298.8744344977,0.0001027684627462
88622,2460299.161796188,0.0003040090142858
88623,2460299.25701854,0.0001545439834089
88623,2460299.3524183733,0.0001226263514352
88625,2460299.4482371216,0.0001347776176166
88625,2460299.5436631204,0.0001439256472747
88626,2460299.543957,4.05e-05
88626,2460299.638857328,0.0001893316586865
88627,2460299.7350189127,0.0002292425734817
88629,2460299.8308990845,0.0002289969621593
88630,2460299.9264952904,0.0002478268027096
88630,2460300.017896808,inf
88631,2460300.117247993,0.0003142970356647
88633,2460300.2140646446,inf
88634,2460300.4044848126,0.0002942936959851
88634,2460300.3090359257,0.000342367992307
88635,2460300.404586,1.97e-05
88636,2460300.50027,4.63e-05
88636,2460300.5955069377,0.0003290849856224
88637,2460300.690877819,inf
88639,2460300.7915918333,inf
88640,2460300.8832104984,0.0003480207211393
88641,2460300.988364628,inf
88641,2460301.07374138,inf
88643,2460301.1704749623,0.0003134071507559
88643,2460301.2649292415,0.0002511040033645
88645,2460301.3614928015,0.0001965407747887
88646,2460301.549671257,inf
88646,2460301.458788409,inf
88648,2460301.6479832083,0.0002639839849673
88649,2460301.747141619,inf
88650,2460301.8396436335,inf
88651,2460301.936639823,inf
88651,2460302.0233945036,inf
88653,2460302.2214347753,0.000418831820552
88655,2460302.3193813246,inf
88656,2460302.4131431016,0.0003053662323157
88656,2460302.508727259,0.0002529616854815
88658,2460302.6992622046,0.000390432284827
88658,2460302.604825177,0.0003293102258408
88660,2460302.79617401,0.000329235823324
88661,2460302.893061364,0.0007024487445776
88662,2460302.988262375,inf
88663,2460303.157449336,0.0006565670055291
88664,2460303.248429233,inf
88666,2460303.3698733016,inf
88666,2460303.4629632807,inf
88668,2460303.5612353417,0.0005055843024332
88669,2460303.6566885076,0.0003273915856747
88670,2460303.7522447663,0.0003267180561205
88696,2460306.2391530806,0.0001464118436608
88697,2460306.3347622263,0.0001281235321815
88697,2460306.430227777,0.0001417495405195
88699,2460306.5259992345,0.0001168224110213
88700,2460306.6216812185,0.0001465860554111
88701,2460306.717358744,0.0001368373637665
88701,2460306.8128533964,0.0001114883818514
88702,2460306.9082984026,0.0001245357905538
88704,2460307.0044205827,0.0001160541741431
88705,2460307.195468003,0.0001335179038808
88705,2460307.0999124716,0.0001135076814506
88707,2460307.291192196,0.000117657721039
88707,2460307.3866564617,0.0001458907093498
88709,2460307.482423776,0.0001299742892205
88710,2460307.5781494705,0.0001050120574029
88711,2460307.673811978,0.000117049397266
88712,2460307.7696111836,0.0001265326043449
88713,2460307.8650118974,0.0001452443871682
88714,2460307.960766281,0.0001009696599573
88715,2460308.0563425547,0.0001351658785926
88716,2460308.152062488,0.0001297331891595
88717,2460308.247593662,0.0001118808822194
88718,2460308.3435943094,0.0001118709034494
88719,2460308.4390236195,0.0001083635741304
88720,2460308.534577432,0.000102513228499
88721,2460308.725714948,0.000147875246062
88721,2460308.630433988,0.0001011541655889
88723,2460308.82162864,0.0001207272994295
88723,2460308.9168986706,0.0001711447733045
88725,2460309.012950851,0.0001471193139971
88726,2460309.108460964,0.0001281562554721
88727,2460309.204209107,8.823773054967206e-05
88727,2460309.29964788,0.0001241306203385
88729,2460309.395386845,0.0001380914242188
88730,2460309.4912900776,0.0001194092747439
88731,2460309.58684323,0.0001261255777351
88732,2460309.682556942,0.0001419136228408
88733,2460309.7780656638,0.0001421606279512
88734,2460309.8736447357,0.0001254525282933
88735,2460309.969283273,0.0001151673056446
88736,2460310.065149908,0.0001225886373222
88736,2460310.160493957,0.0001136941551814
88738,2460310.256438317,0.0001344233986412
88739,2460310.3520712904,9.34237610171495e-05
88740,2460310.447565716,9.896901427555695e-05
88740,2460310.5431054845,0.0001397234852695
88742,2460310.638801613,0.0001258280216713
88743,2460310.7346329316,0.0001262578673342
88743,2460310.829880964,0.0001032938860349
88745,2460310.9259166317,0.000104521590173
88746,2460311.021691708,0.0001243810787718
88746,2460311.116970039,9.600722546430976e-05
88748,2460311.212885644,0.0001355505106777
88749,2460311.3083706615,0.0001189129294757
88749,2460311.4038142897,9.734790787043904e-05
88751,2460311.4999061623,0.0001141096410606
88752,2460311.5952749564,0.0001294598244929
88753,2460311.690990974,0.0001212744912926
88754,2460311.7865568264,0.0001374536063791
88755,2460311.8822077755,0.0001166195634321
88755,2460311.977754687,0.000122915590692
88756,2460312.073340512,0.0001052461831357
88757,2460312.1690389784,0.0001275806212046
88757,2460312.16905674,0.0001025038568844
88759,2460312.26487206,0.0001118279314832
88759,2460312.264857983,0.0001593342521363
88760,2460312.36047569,0.0001134551962986
88760,2460312.3604733525,0.000112671455024
88760,2460312.456015346,0.0001481058268708
88761,2460312.5516543686,0.0001106312006963
88761,2460312.45610255,0.0001052006414396
88761,2460312.55161026,0.0001027438050272
88766,2460312.9344805465,0.0001123631232331
88767,2460313.030033008,0.0001070066621642
88768,2460313.1256347,0.0001377496197447
88768,2460313.220973381,0.0001055763270072
