EclipseNumber,BJD,Error
51784,2456775.77545,0.00013
51805,2456777.73635,3.6e-05
51826,2456779.745,3.9e-05
53605,2456949.9004,3.3e-05
53710,2456959.94328,4.2e-05
53710,2456959.99096,0.000105
54023,2456989.88095,0.000173
54250,2457011.59222,0.000207
54271,2457013.60107,5e-05
54342,2457020.39191,7.5e-05
54479,2457033.49544,7.4e-05
54480,2457033.59108,6e-05
54480,2457033.63876,0.000205
54481,2457033.68675,0.000122
54530,2457038.37346,2.5e-05
54532,2457038.56464,3.6e-05
54533,2457038.66039,2.8e-05
54543,2457039.61689,7.7e-05
55192,2457101.69132,2.4e-05
55255,2457107.76482,0.00014
55418,2457123.35571,0.000164
55419,2457123.40318,4.8e-05
55460,2457127.37244,0.000202
55461,2457127.42034,6.1e-05
55502,2457131.34191,7.4e-05
55502,2457131.38979,0.00016
55503,2457131.43748,3.1e-05
55524,2457133.44612,4e-05
55534,2457134.40251,2.2e-05
55534,2457134.45017,9.3e-05
57443,2457316.99185,3.6e-05
57949,2457365.38916,1.3e-05
57950,2457365.4848,2.8e-05
57950,2457365.53269,9.4e-05
58262,2457395.37443,0.000128
58263,2457395.42219,7.5e-05
58347,2457403.45664,5.6e-05
58387,2457407.33031,0.000276
58388,2457407.37821,9.6e-05
58544,2457422.29875,9.7e-05
58619,2457429.47249,6.3e-05
58889,2457455.29693,2.8e-05
58953,2457461.41837,0.00011
58994,2457465.34007,0.000158
59204,2457485.42574,7.6e-05
59214,2457486.38213,0.000174
59235,2457488.39075,6.2e-05
59445,2457508.47673,0.000181
60830,2457640.94726,5.8e-05
61133,2457669.92822,5.2e-05
61672,2457721.4818,2.9e-05
61672,2457721.48187,9.61e-05
61673,2457721.57747,9.61e-05
61674,2457721.673,9.61e-05
61682,2457722.43823,9.62e-05
61682,2457722.43823,6.8e-05
61684,2457722.6296,9.63e-05
61685,2457722.72519,9.61e-05
61692,2457723.39478,9.66e-05
61693,2457723.49048,9.6e-05
61694,2457723.58603,9.62e-05
61725,2457726.55109,9.62e-05
61726,2457726.64669,9.6e-05
61734,2457727.41193,9.66e-05
61922,2457745.39362,9.63e-05
61925,2457745.68042,9.66e-05
61934,2457746.5414,9.6e-05
61963,2457749.31504,9.62e-05
61964,2457749.41063,9.6e-05
61966,2457749.60214,9.64e-05
61967,2457749.69761,9.61e-05
61974,2457750.36731,0.000151
61984,2457751.32369,9.67e-05
61985,2457751.41928,9.61e-05
61988,2457751.70625,9.62e-05
62036,2457756.29714,9.61e-05
62037,2457756.39272,9.61e-05
62037,2457756.39274,4e-05
62038,2457756.48853,9.6e-05
62038,2457756.48846,4.5e-05
62039,2457756.58409,4.2e-05
62040,2457756.67977,8e-05
62059,2457758.49707,9.63e-05
62060,2457758.5927,9.6e-05
62061,2457758.68844,9.65e-05
62069,2457759.45337,9.65e-05
62070,2457759.54925,9.67e-05
62214,2457773.3224,0.000159
62215,2457773.41796,0.000203
62224,2457774.27881,0.00011
62225,2457774.37449,5.1e-05
62226,2457774.47002,0.000111
62235,2457775.33099,9.64e-05
62236,2457775.42653,9.6e-05
62237,2457775.52231,9.6e-05
62245,2457776.28748,9.64e-05
62246,2457776.38302,9.62e-05
62247,2457776.47853,9.61e-05
62266,2457778.2959,0.000253
62266,2457778.29603,9.61e-05
62266,2457778.34372,0.000177
62267,2457778.39179,0.000187
62267,2457778.39163,9.6e-05
62267,2457778.39153,6e-05
62289,2457780.49588,9.61e-05
62475,2457798.28598,0.000246
62476,2457798.38191,0.000214
62477,2457798.47746,0.000124
62528,2457803.35541,0.000131
62530,2457803.54665,3.9e-05
62790,2457828.41475,7.5e-05
62843,2457833.48411,3.2e-05
62844,2457833.57974,6.5e-05
62884,2457837.4056,9.3e-05
62884,2457837.40559,1.9e-05
62885,2457837.50123,3.7e-05
62886,2457837.59686,5.7e-05
62894,2457838.36206,2.9e-05
62895,2457838.45773,6.1e-05
62915,2457840.37059,9.3e-05
62957,2457844.38771,6.6e-05
62978,2457846.39644,4.1e-05
63072,2457855.38738,0.00016
63145,2457862.36961,7.9e-05
63187,2457866.38662,4.4e-05
63188,2457866.48217,3.6e-05
63198,2457867.43868,4.9e-05
63365,2457883.41174,4e-05
63366,2457883.50738,5.2e-05
63376,2457884.46375,4.9e-05
63377,2457884.55972,5.87e-05
63378,2457884.65498,1.9e-05
63491,2457895.46315,3.6e-05
65116,2458050.889105,3.6e-05
65174,2458056.436624,5.9e-05
65320,2458070.400908,0.000242
65500,2458087.61759,9.18e-05
65582,2458095.46035,9.18e-05
65592,2458096.4171,9.18e-05
65594,2458096.60819,9.18e-05
65595,2458096.70399,9.18e-05
65626,2458099.66882,9.18e-05
65791,2458115.45069,9.18e-05
65792,2458115.5463,9.18e-05
65801,2458116.4071,9.18e-05
65802,2458116.50273,9.18e-05
65843,2458120.4243,9.18e-05
65844,2458120.51991,9.18e-05
65845,2458120.61565,9.18e-05
65886,2458124.53695,9.18e-05
65887,2458124.63262,9.18e-05
66000,2458135.4408,9.18e-05
66002,2458135.63194,9.18e-05
66030,2458138.31001,9.18e-05
66093,2458144.336056,3e-05
66094,2458144.431452,0.000102
66095,2458144.527359,4.1e-05
66096,2458144.62296,3.1e-05
66157,2458150.45742,9.18e-05
66168,2458151.50955,9.18e-05
66273,2458161.552412,2.5e-05
66282,2458162.413229,4.6e-05
66283,2458162.509018,8.3e-05
66805,2458212.436574,0.000126
66930,2458224.392311,0.000157
66952,2458226.496587,0.000275
67223,2458252.417033,0.000252
67286,2458258.44257,0.000203
68959,2458418.459648,0.000126
69032,2458425.441796,0.000155
69188,2458440.362812,0.000179
69189,2458440.458271,0.000206
69418,2458462.361467,0.000124
69659,2458485.412263,8.4e-05
69733,2458492.490163,6.1e-05
69819,2458500.7159,3e-05
69862,2458504.82867,0.00024
69870,2458505.59376,7e-05
69942,2458512.480366,0.000236
69944,2458512.67178,8e-05
69962,2458514.393247,0.0001
69963,2458514.488987,0.000107
70442,2458560.303749,5.2e-05
70444,2458560.494993,2.7e-05
70498,2458565.66003,3e-05
70516,2458567.381801,0.000102
70517,2458567.477389,0.000186
70528,2458568.529338,3.5e-05
70537,2458569.390252,6.7e-05
70726,2458587.467371,0.000126
70749,2458589.66736,5e-05
70788,2458593.397471,9.8e-05
70893,2458603.440464,7.7e-05
71063,2458619.70026,7e-05
71217,2458634.429954,0.000175
71991,2458708.460552,0.000166
72201,2458728.546331,3.7e-05
72201,2458728.546356,4.3e-05
72264,2458734.572115,4.5e-05
72326,2458740.502201,0.000102
72378,2458745.47578,0.00011
72547,2458761.64002,6e-05
72717,2458777.89999,8e-05
72785,2458784.40406,4e-05
73005,2458805.44643,3e-05
73129,2458817.30649,6e-05
73130,2458817.40219,2e-05
73130,2458817.4021,4e-05
73396,2458842.844241162,0.0001175100431424
73397,2458842.9398675314,0.0001159155973009
73398,2458843.0355285094,9.93986408284e-05
73399,2458843.131234584,0.0001297507882357
73400,2458843.3223448074,0.000126550342206
73400,2458843.226846984,0.0001279831536658
73401,2458843.418063033,0.0001086389508742
73403,2458843.5137412166,0.0001317936240645
73404,2458843.609362296,0.0001334600539587
73406,2458843.8962252755,0.0001002062484973
73406,2458843.800692592,0.0001094491003402
73408,2458844.0875023487,0.0001103645474811
73408,2458843.9919972196,0.0001162622547648
73410,2458844.1832406567,0.0001281616358006
73410,2458844.2786632576,0.0001112340830652
73412,2458844.3746365486,0.0001519413186608
73413,2458844.470370369,0.0001331437955931
73414,2458844.5658797733,0.0001123009246788
73414,2458844.66134949,0.0001203901732019
73416,2458844.757192062,0.0001320885405326
73417,2458844.8528168127,0.0001199061393488
73418,2458845.0440521357,0.0001231957644633
73418,2458844.9484471725,0.000108761777071
73420,2458845.139812015,0.000121799533624
73421,2458845.3309778455,0.0001636897553325
73421,2458845.235588219,9.70056898726e-05
73423,2458845.522192402,0.0001036111147344
73423,2458845.4268250368,0.0001547056303809
73424,2458845.6177618494,0.0001317954902516
73426,2458845.7136314535,0.0001095221880108
73427,2458845.8092459263,0.0001132661790211
73427,2458845.904855161,0.0001294793554429
73429,2458846.0005593146,8.35243129127e-05
73430,2458846.1916265003,0.0001277456702644
73430,2458846.0962052853,0.0001212097515453
73431,2458846.2874188926,0.0001125436080112
73433,2458846.383167432,0.0001240352128524
73434,2458846.4789343523,0.0001022226506449
73435,2458846.5745044937,0.0001023635587916
73435,2458846.670048733,9.62606333345e-05
73437,2458846.8613431943,0.0001213041753246
73437,2458846.765749412,9.80604271279e-05
73439,2458846.957144585,0.0001126906158583
73440,2458847.0526539166,0.0001095423023992
73440,2458847.148146083,0.0001173090191237
73442,2458847.2439641184,9.13574036873e-05
73442,2458847.3395503806,0.0001282700373543
73443,2458847.33965,5e-05
73443,2458847.33965,5e-05
73444,2458847.4352466385,0.0001119343201281
73445,2458847.530958649,0.000113004933396
73445,2458847.6264785547,0.0001563238528222
73446,2458847.7221070277,0.0001326795734185
73448,2458847.913342252,0.0001462537180642
73448,2458847.8178604585,0.0001557731228557
73449,2458848.0090282806,0.0001007733316433
73451,2458848.104872212,0.0001266808219237
73452,2458848.2005123016,9.65896600915e-05
73453,2458848.391492731,0.0001164433705532
73453,2458848.2962031374,8.81471457739e-05
73455,2458848.582938673,0.0001206526763199
73455,2458848.487417941,9.48452966113e-05
73457,2458848.774262929,0.000134418080496
73457,2458848.678710513,8.78671653244e-05
73459,2458848.8699961426,0.0001225183366701
73459,2458848.96556002,0.0001190791055102
73460,2458849.061177841,0.0001325251464105
73462,2458849.1569390357,9.60278264216e-05
73462,2458849.252429537,0.0001188981809099
73464,2458849.348162028,0.0001167957274024
73464,2458849.4437510613,0.0001076237854804
73466,2458849.539625545,0.0001030940686233
73466,2458849.6350398934,8.78581761596e-05
73468,2458849.7307753614,9.24104885914e-05
73469,2458849.8264597785,0.0001230999289327
73469,2458849.9220175534,8.50543268942e-05
73472,2458850.1134488974,0.0001252865454734
73474,2458850.3046575286,0.0001490366882512
73475,2458850.4003583016,0.0001370131227928
73476,2458850.495961508,0.0001225844020697
73477,2458850.591713425,0.0001110289104858
73477,2458850.6871869825,0.0001171390960344
73478,2458850.7828085786,0.0001250593428512
73479,2458850.878291911,0.0001138714589499
73480,2458850.9740750017,9.92551255963e-05
73482,2458851.0698335776,9.03177275071e-05
73483,2458851.165470762,9.34514051996e-05
73484,2458851.2612185106,0.0001066386836198
73484,2458851.356662576,0.0001403504468242
73486,2458851.4524299954,0.0001205681218039
73487,2458851.64367709,8.95284838836e-05
73487,2458851.5481528877,0.0001097794278192
73488,2458851.73919742,0.0001067885570561
73490,2458851.9305493888,0.0001433532835678
73490,2458851.8352029687,0.0001121768447354
73491,2458852.026140114,0.0001170313349699
73493,2458852.217525619,0.0001219847400676
73493,2458852.1219939548,0.0001174944019328
73494,2458852.3131696456,0.0001144363978779
73495,2458852.408830489,0.0001110397873317
73497,2458852.6000840627,0.0001289044410833
73497,2458852.5046746344,0.0001258200833898
73498,2458852.69575334,0.0001018747639951
73500,2458852.7915758207,0.0001094862533084
73501,2458852.8871211703,0.0001133525960915
73502,2458852.982829388,0.0001167317411798
73503,2458853.078406321,0.0001120455955888
73504,2458853.2696445226,8.92139205787e-05
73504,2458853.174049891,0.0001196582908194
73506,2458853.36546132,0.0001219811064764
73507,2458853.556617667,0.0001171837084123
73507,2458853.461084104,0.0001279782243618
73509,2458853.7477046326,0.0001174227570692
73509,2458853.6523605213,0.0001384861208612
73511,2458853.9391310206,0.0001153974095484
73511,2458853.843805169,9.63576769237e-05
73513,2458854.0349426894,0.0001277852023508
73514,2458854.130568424,0.000117395973418
73515,2458854.321730307,0.0001082136637426
73515,2458854.2262052572,0.0001220842545807
73517,2458854.417512876,9.01888588696e-05
